"last_name, first_name","player_id","year","pa","strikeout","bb_percent","p_total_strike","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Cannon, Jonathan","686563","2024","522","91",7.7,"1275",".332",".322",38.3,7.3,36.3,"78.719188912","93.823911325",21.8,47.1
"Ortiz, Luis","682847","2024","556","107",7.6,"1376",".287",".320",34.9,8.8,37.7,"78.240775528","94.10121864",21,48.1
"Myers, Tobias","668964","2024","569","127",6.3,"1419",".297",".317",36.4,8,38.7,"79.298209695","94.361623995",21.3,49.6
"Woods Richardson, Simeon","680573","2024","569","117",8.4,"1499",".305",".311",35.7,8.2,36.2,"78.06318392","93.54377801",22.3,49.8
"Montgomery, Jordan","656756","2024","532","83",8.3,"1214",".370",".347",36.6,6,41,"77.212722234","94.218289135",26.9,49.6
"Rogers, Trevor","669432","2024","562","97",10,"1390",".350",".347",33.3,8.4,44.4,"80.391399303","94.92394505",20.9,46.2
"Gallen, Zac","668678","2024","621","156",8.7,"1553",".301",".308",34.9,7.4,41,"79.81895601","94.40298237",26,44.2
"Abbott, Andrew","671096","2024","586","114",8.9,"1490",".323",".310",36.6,9.3,33.5,"78.18333039","93.177609095",22.6,47.6
"Gray, Sonny","543243","2024","671","203",5.8,"1650",".292",".297",38.1,8.9,37.9,"79.276406538","94.211961253",29.8,48.7
"Pérez, Martín","527048","2024","590","107",8.3,"1423",".351",".353",34.3,8.6,41.5,"76.89241338","94.749829061",21,46
"Montas, Frankie","593423","2024","655","148",10.1,"1665",".325",".333",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Falter, Bailey","663559","2024","589","97",7.6,"1412",".320",".336",36.6,9,41.3,"79.920380413","94.430660482",19.6,49.5
"Assad, Javier","665871","2024","638","124",9.9,"1556",".330",".341",36,8.8,39.8,"78.304060092","94.272452936",17.9,42.5
"Peralta, Freddy","642547","2024","725","200",9.4,"1866",".305",".305",35.3,8.7,36.9,"75.95026724","93.640809751",31.1,46.9
"Morton, Charlie","450203","2024","701","167",9.3,"1764",".335",".326",33,9.3,38.4,"77.729736875","93.929105313",26.1,46.6
"Ragans, Cole","666142","2024","762","223",8.8,"1980",".277",".283",31.8,6.2,35.4,"77.675891223","93.553010853",32,48.9
"Quantrill, Cal","615698","2024","656","110",10.5,"1612",".358",".351",37.1,7.3,41.2,"77.92321026","94.354738243",21.6,45.7
"Brown, Hunter","686613","2024","712","179",8.4,"1821",".296",".283",28,4.5,30.3,"74.687517768","92.855098176",25.1,46.3
"Parker, Mitchell","680730","2024","646","133",6.7,"1605",".311",".322",35.3,8.1,38.9,"79.509350699","94.140672817",22.3,51.4
"Cease, Dylan","656302","2024","762","224",8.5,"1999",".266",".283",32.4,8.5,38.6,"78.282702241","94.084709267",32.4,48.2
"Bibee, Tanner","676440","2024","710","187",6.2,"1889",".299",".301",37.4,7,36.9,"77.504108675","93.719329103",26.9,51
"Spence, Mitch","687765","2024","651","126",6.8,"1599",".340",".314",30.9,8.4,41.7,"78.960464768","94.185021142",22.5,50.6
"Littell, Zack","641793","2024","656","141",4.7,"1680",".317",".321",36.2,9.6,39.2,"78.590295546","94.137344568",23.1,51.9
"Manaea, Sean","640455","2024","738","184",8.5,"1947",".275",".300",37,7.5,37.8,"77.674456946","93.857812243",26.1,49
"Civale, Aaron","650644","2024","689","149",7.5,"1730",".327",".309",36.5,7.3,39.4,"79.152007238","94.002413711",21.9,45.2
"Fried, Max","608331","2024","714","166",8,"1755",".273",".299",30.4,5,34.6,"73.871292176","93.362715837",24.1,45.9
"Miller, Bryce","682243","2024","704","171",6.4,"1790",".260",".299",32.8,9.7,41.2,"80.650222167","94.328141625",24.4,48.9
"Imanaga, Shota","684007","2024","694","174",4,"1778",".279",".286",36,8.6,39.3,"77.586230864","93.931424733",28.3,55.7
"Feltner, Ryan","663372","2024","692","138",7.5,"1660",".320",".320",33.1,6.5,36.8,"76.695048857","93.803345297",23.9,48.1
"Gibson, Kyle","502043","2024","722","151",9.4,"1651",".323",".338",34.3,9.2,39.1,"76.558654534","94.071640304",25.9,42.9
"Wheeler, Zack","554430","2024","787","224",6.6,"2056",".256",".261",32.6,8.3,33.6,"74.93491968","93.046728036",27.5,51.2
"Cortes Jr., Nestor","641482","2024","710","162",5.5,"1854",".307",".295",35,7.9,43.6,"79.122676225","94.470879177",24.2,50.4
"López, Pablo","641154","2024","772","198",5.3,"1991",".306",".297",35.9,8.2,37.5,"76.717040308","93.587928673",27,51.8
"Eflin, Zach","621107","2024","684","134",3.5,"1665",".297",".297",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"Pfaadt, Brandon","694297","2024","760","185",5.5,"1868",".312",".301",33,8.1,39.4,"78.684914866","94.224942476",25.4,49.3
"Singer, Brady","663903","2024","762","170",7.1,"1862",".316",".331",35.6,8,41.7,"77.275001577","94.431135896",25.1,44.7
"Gausman, Kevin","592332","2024","756","162",7.4,"1926",".300",".333",35.5,9.7,42.4,"79.496181832","94.740771683",23.4,49.9
"Canning, Griffin","656288","2024","739","130",8.9,"1804",".341",".334",32.4,8.6,41.9,"80.443886517","94.700505891",24.5,48.4
"Keller, Mitch","656605","2024","773","166",6.5,"1889",".331",".320",38,7.2,39.3,"77.859026134","94.078079089",21.5,47.6
"Gomber, Austin","596295","2024","696","116",5.5,"1725",".339",".344",37.7,9.6,41.2,"80.036265299","94.432492071",19.9,48.3
"Anderson, Tyler","542881","2024","765","142",9.5,"1863",".308",".322",34.1,7.9,33,"76.273537333","93.1219435",27.8,49.3
"Burnes, Corbin","669203","2024","784","181",6.1,"1932",".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Irvin, Jake","663623","2024","769","156",6.8,"1985",".314",".320",33,9.2,39.1,"77.537675273","94.341422273",22.3,48.5
"Berríos, José","621244","2024","786","153",6.9,"1910",".308",".334",36.3,7.8,41.8,"79.087839143","94.188449928",21.1,46.7
"Mikolas, Miles","571945","2024","720","122",3.5,"1861",".339",".331",38.1,8.1,42.3,"77.511449435","94.25374515",16.4,49.8
"Corbin, Patrick","571578","2024","764","139",7.1,"1831",".357",".357",37.3,8.3,46.7,"79.877843129","95.30570991",22.4,48.2
"Jones, Jared","683003","2024","504","132",7.7,"1276",".314",".311",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Pepiot, Ryan","686752","2024","539","142",8.9,"1375",".290",".296",31.4,9.1,37.2,"79.441531647","93.814038824",29.9,48
"Lugo, Seth","607625","2024","836","181",5.7,"2033",".278",".300",32.8,8,39,"77.299278949","93.994017356",22.5,46.7
"Lynn, Lance","458681","2024","511","109",8.6,"1273",".314",".340",37,10.5,39.3,"77.577234686","94.259379457",24.1,48.4
"Peterson, David","656849","2024","510","101",9,"1207",".299",".329",35.7,7.3,42.7,"78.331204972","94.426613853",25.6,47.8
"Ryan, Joe","657746","2024","538","147",4.3,"1432",".282",".264",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Harrison, Kyle","690986","2024","532","118",7.9,"1330",".330",".338",34.2,10.1,44.1,"80.405098066","94.933663315",23.6,46.2
"Pallante, Andre","669467","2024","509","94",9.4,"1228",".293",".289",24.4,3.3,38.1,"75.339766989","93.795724801",19.8,46.4
"Bradley, Taj","671737","2024","578","154",8.1,"1482",".308",".315",34.9,10.2,42.9,"81.556942554","94.766375924",27.4,50.7
"Pivetta, Nick","601713","2024","595","172",6.1,"1586",".306",".291",38.9,10.1,38.9,"79.225758698","93.96201671",25.6,50.3
"Arrighetti, Spencer","681293","2024","632","171",10.3,"1612",".332",".311",38.3,7.7,39.8,"77.934348615","94.124621851",27.7,47.2
"Suárez, Albert","544150","2024","565","108",7.6,"1394",".320",".311",38,7.1,38.4,"78.437722921","93.664169109",24.6,50.4
"Flaherty, Jack","656427","2024","649","194",5.9,"1698",".288",".292",36.1,7.7,35.9,"77.445862362","93.776478992",32.1,46.2
"Estes, Joey","683155","2024","543","92",5,"1400",".333",".324",37.2,9.7,39.6,"79.114875902","94.154264829",19.2,55.5
"Stone, Gavin","694813","2024","580","116",6.4,"1406",".304",".307",32.5,6.4,36.2,"77.107440095","93.702925548",24.7,50.5
"Sale, Chris","519242","2024","702","225",5.6,"1891",".260",".261",34.9,5.6,31.2,"75.016805094","93.046190662",31,49
"Martinez, Nick","607259","2024","570","116",3.2,"1435",".279",".278",34,5.1,30.5,"74.850496934","92.978959505",23.1,51.1
"Suárez, Ranger","624133","2024","626","145",6.5,"1524",".297",".297",32.9,5.1,34.3,"74.743507217","93.618829764",21.9,47.3
"Hendricks, Kyle","543294","2024","567","87",7.6,"1381",".339",".336",36.4,7.4,33.4,"73.587198843","93.098027796",18.9,46.2
"Blanco, Ronel","669854","2024","676","166",10.1,"1758",".276",".309",30.1,9.3,35.5,"78.14814367","93.702377385",29,48.6
"Waldron, Matt","663362","2024","625","133",6.4,"1570",".323",".313",33.9,7,35,"77.177450505","93.585477592",20.8,45.3
"King, Michael","650633","2024","726","201",8.7,"1872",".284",".294",35.2,6.2,30.3,"73.981359732","92.671656987",29.3,45.4
"Lively, Ben","594902","2024","632","118",7.8,"1574",".315",".309",30.7,6.5,41.5,"80.455663231","94.191914792",18.6,46.6
"Nelson, Ryne","669194","2024","630","126",5.4,"1632",".322",".315",34.5,7.5,41.6,"79.83287319","94.487586272",18.2,51.8
"Ober, Bailey","641927","2024","709","191",6.1,"1821",".282",".279",34.8,8.3,34.3,"76.699154464","93.270078151",29,52.4
"Valdez, Framber","664285","2024","703","169",7.8,"1645",".272",".287",26,5.3,45,"80.000726364","94.620557662",27.2,44.9
"Gore, MacKenzie","669022","2024","731","181",8.9,"1919",".324",".316",36.2,6.8,38.1,"76.776975684","93.73951438",28.6,50.4
"Rodón, Carlos","607074","2024","736","195",7.7,"1980",".320",".314",34.6,11,40.9,"80.220048043","94.543522745",30.1,49.4
"Bello, Brayan","678394","2024","702","153",9.1,"1710",".319",".328",34.2,7.4,41.1,"76.384630975","94.524067665",25.9,46.3
"Heaney, Andrew","571760","2024","693","159",5.9,"1790",".312",".325",37.4,8.3,40.1,"78.990582236","94.388347616",26.3,50.3
"Eovaldi, Nathan","543135","2024","696","166",6,"1778",".291",".306",33.5,7.7,42.6,"77.906442017","94.485768718",26.8,52.2
"Skubal, Tarik","669373","2024","753","228",4.6,"1985",".246",".257",33.1,6.7,33.9,"76.236530506","93.34039981",31.9,51.8
"Kikuchi, Yusei","579328","2024","736","206",6,"1909",".297",".298",33.5,9.7,45,"79.146503958","94.844128643",29,48.4
"Wacha, Michael","608379","2024","685","145",6.6,"1675",".300",".311",32.7,8.2,32.5,"75.614261583","93.109005646",23.3,48.5
"Castillo, Luis","622491","2024","719","175",6.5,"1881",".305",".306",37,8.5,41.9,"78.938131564","94.546516728",25.9,50.6
"Stroman, Marcus","573186","2024","675","113",8.9,"1626",".341",".340",35.5,6.7,40.2,"78.437503663","94.344487814",20.4,43.9
"Bassitt, Chris","605135","2024","758","168",9.2,"1881",".331",".327",36.3,7.5,37.1,"75.64419492","94.077816493",21.7,45
"Quintana, Jose","500779","2024","717","135",8.8,"1676",".312",".327",32.9,6.7,38.2,"76.44604848","93.89600374",22.2,43.1
